"Listing Number","Property Type","Short Address","List Price","Parcel ID","Sold Date","Sold Price","Sold Price/SqFt","SqFt - Living","SqFt - Total","Subdivision","Waterfront","Days On Market"
"RX-10506370","Residential","2760 S Ocean Boulevard 310","315000.00","50434423160003100","2019-07-16","300000.00","260.86","1150.00","1150.00","REGENCY OF PALM BEACH INC","Yes","120"
"RX-10492237","Residential","2720 S Ocean Boulevard 114","299000.00","50434423170001140","2019-07-12","240000.00","278.42","862.00","862.00","Edgewater House","Yes","143"
"RX-10488609","Residential","3475 S Ocean Boulevard 6080","575000.00","50434435020006080","2019-07-17","545000.00","390.68","1395.00","1395.00","LA BONNE VIE CONDO","Yes","185"
"RX-10489909","Residential","3100 S Ocean Boulevard 207 S","679000.00","50434426090022070","2019-07-18","500000.00","190.98","2618.00","2979.00","PALM BEACH HAMPTON CONDO","Yes","162"
"RX-10481843","Residential","2000 S Ocean Boulevard 204s","2575000.00","50434411050022040","2019-07-22","2450000.00","746.95","3280.00","3280.00","TWO THOUSAND CONDO","Yes","219"
"RX-10519525","Residential","2840 S Ocean Boulevard # 315","129000.00","5043442315003150","2019-07-23","114000.00","162.85","700.00","770.00","Royal Saxon","Yes","80"
"RX-10460475","Residential","3200 S Ocean Boulevard D503","399000.00","50434426020045030","2019-07-23","382500.00","222.51","1719.00","1800.00","THIRTY TWO HUNDRED CONDO","Yes","297"
"RX-10549018","Residential","3456 S Ocean Boulevard 7040","360000.00","50434435050017040","2019-07-25","357000.00","280.00","1275.00","1235.00","CLARIDGES I CONDO","Yes","0"
"RX-10517965","Residential","3450 S Ocean Boulevard 528","250000.00","50434435030005280","2019-07-30","185000.00","194.32","952.00","1012.00","PATRICIAN OF PALM BEACH CONDO","Yes","70"
"RX-10535506","Residential","3450 S Ocean Boulevard 604","235000.00","50434435030006040","2019-07-31","202500.00","212.71","952.00","1012.00","PATRICIAN OF PALM BEACH CONDO","Yes","30"
"RX-10541263","Residential","3460 S Ocean Boulevard 515","289900.00","50434435060005150","2019-07-31","275000.00","193.66","1420.00","1746.00","CLARIDGES II CONDO","Yes","12"
"RX-10543361","Residential","3460 S Ocean Boulevard 116","259000.00","50434435060001160","2019-07-31","237000.00","191.28","1239.00","1239.00","CLARIDGES II CONDO","Yes","0"
"RX-10530764","Residential","3440 S Ocean Boulevard 704s","750000.00","50434435180027040","2019-07-31","750000.00","360.92","2078.00","2078.00","HALCYON OF PALM BEACH","Yes","23"
"RX-10466497","Residential","2295 S Ocean Boulevard 424","499000.00","50434414040004240","2019-08-12","435000.00","279.02","1559.00","1559.00","Harbour House","Yes","294"
"RX-10497458","Residential","3120 S Ocean Boulevard 1-203","2000000.00","50434426070012030","2019-08-08","1850000.00","637.05","2904.00","3239.00","THIRTY ONE TWENTY CONDO","Yes","170"
"RX-10509691","Residential","3100 S Ocean Boulevard 701n","4495000.00","50434426090017010","2019-08-07","3250000.00","703.61","4619.00","5700.00","PALM BEACH HAMPTON CONDO","Yes","126"
"RX-10511749","Residential","2784 S Ocean Boulevard 403n","875000.00","50434423050014030","2019-08-16","785000.00","473.17","1659.00","1800.00","COVE CONDO","Yes","155"
"RX-10497289","Residential","2860 S Ocean Boulevard 317","288000.00","50434423030003170","2019-08-26","275000.00","174.27","1578.00","1700.00","LA PALMA CONDO","Yes","155"
"RX-10538171","Residential","3450 S Ocean Boulevard 222","375000.00","50434435030002220","2019-08-29","402000.00","240.71","1670.00","1730.00","PATRICIAN OF PALM BEACH CONDO","Yes","34"
"RX-10494246","Residential","2100 S Ocean Boulevard 102 S","950000.00","50434414020021020","2019-08-30","809000.00","339.20","2385.00","2500.00","TWENTY ONE HUNDRED CONDO","Yes","169"
"RX-10548839","Residential","2760 S Ocean Boulevard 213","150000.00","50434423160002130","2019-08-30","122500.00","144.11","850.00","850.00","REGENCY OF PALM BEACH INC","No","16"
"RX-10509309","Residential","2773 S Ocean Boulevard A","850000.00","50434423040006010","2019-08-29","703315.00","259.52","2710.00","2710.00","CARLYLE HOUSE CONDO","Yes","154"
"RX-10500329","Residential","3100 S Ocean Boulevard 104 N","900000.00","50434426090011040","2019-08-28","850000.00","378.78","2244.00","2500.00","PALM BEACH HAMPTON CONDO","Yes","158"
"RX-10442095","Residential","3120 S Ocean Boulevard 2203","875000.00","50434426070022030","2019-09-04","785000.00","272.85","2877.00","2877.00","THIRTY ONE TWENTY CONDO","Yes","423"
"RX-10487121","Residential","2840 S Ocean Boulevard 205","140000.00","50434423150002050","2019-09-12","135000.00","144.38","935.00","1011.00","ROYAL SAXON INC","Yes","197"
"RX-10433947","Residential","3100 S Ocean Boulevard Ph 607n","2795000.00","50434426090016070","2019-09-23","2650000.00","573.71","4619.00","5701.00","PALM BEACH HAMPTON CONDO","Yes","394"
"RX-10523181","Residential","3100 S Ocean Boulevard 105s","599000.00","50434426090021050","2019-08-29","500000.00","171.64","2913.00","2913.00","PALM BEACH HAMPTON CONDO","Yes","109"
"RX-10538101","Residential","3100 S Ocean Boulevard 505s","1799000.00","50434426090025050","2019-09-23","1570000.00","492.00","3191.00","3191.00","PALM BEACH HAMPTON CONDO","Yes","54"
"RX-10554599","Residential","3450 S Ocean Boulevard 624","260000.00","50434423010006240","2019-09-23","255000.00","252.97","1008.00","1056.00","PATRICIAN OF PALM BEACH CONDO","Yes","5"
"RX-10466482","Residential","2275 S Ocean Boulevard 305 N","1100000.00","50434414010013050","2019-09-30","1020000.00","546.03","1868.00","1868.00","REEF CONDO","Yes","294"
"RX-10536604","Residential","2784 S Ocean Boulevard 304n","660000.00","50434423050013040","2019-09-30","620000.00","441.28","1405.00","1500.00","COVE CONDO","Yes","70"
"RX-10522326","Residential","3450 S Ocean Boulevard 427","145000.00","50434435030004270","2019-10-01","131000.00","153.75","852.00","952.00","PATRICIAN OF PALM BEACH CONDO","Yes","147"
"RX-10682155","Residential","3120 S Ocean Boulevard 2502","1395000.00","50434426070025020","2021-07-26","1395000.00","558.67","2497.00","2938.00","3120 BUILDING","Yes","82"
"RX-10553783","Residential","3440 S Ocean Boulevard S704","899500.00","50434435180027040","2019-10-04","840000.00","404.23","2078.00","2078.00","HALCYON OF PALM BEACH","Yes","28"
"RX-10378023","Residential","3550 S Ocean Boulevard 6a","4270000.00","62434435000020190","2019-09-24","4270000.00","1252.56","3409.00","3759.00","3550 SOUTH OCEAN","Yes","1"
"RX-10541308","Residential","3360 S Ocean Boulevard 3 C I","739000.00","50434435190010033","2019-10-10","704000.00","404.59","1740.00","1740.00","THIRTY-THREE SIXTY CONDO","Yes","56"
"RX-10522545","Residential","2295 S Ocean Boulevard 614","375000.00","50434414040006140","2019-09-27","340000.00","218.08","1559.00","1669.00","Harbour House","Yes","117"
"RX-10550869","Residential","3100 S Ocean Boulevard 507s","749000.00","50434426090025070","2019-10-15","667500.00","224.06","2979.00","2618.00","PALM BEACH HAMPTON CONDO","Yes","25"
